,Coefficients,f_values,p_values
zip_98023,77486913988.48892,248.10383232255975,1.1507819724894454e-55
zip_98024,-2198436570.0776978,30.100233475979557,4.137408215742211e-08
zip_98027,-6793039940.050598,38.38529786694461,5.885573770673121e-10
zip_98028,-8141043795.230301,0.3292794179710132,0.5660881933856607
zip_98029,-6240313783.355728,90.69385677425572,1.8041324621890636e-21
zip_98030,38537855541.047745,111.37906038454099,5.453378600204512e-26
zip_98031,45841897248.96022,169.19336122950403,1.4268597125474328e-38
zip_98032,27337172250.895493,74.2554510501725,7.209503652967509e-18
zip_98033,-10746642317.911179,772.3651052151484,9.144460529454881e-168
zip_98034,-11410702405.896545,32.29259577775873,1.3389999436422059e-08
zip_98038,6934938580.230316,119.037165875634,1.1647424539840153e-27
zip_98039,-850314766.2509232,1207.381291316432,3.5455340693975477e-259
zip_98040,-18108956838.13214,1423.6120313865622,4.1428311642565385e-304
zip_98042,62466372469.08207,283.34998919183477,2.812949538563677e-63
zip_98045,-4422757372.983967,2.026366826811063,0.1546006385981193
zip_98047,20187910779.00743,40.331429649794785,2.1753656586632493e-10
zip_98051,1946772353.6826782,2.2524313852511506,0.13341563820370408
zip_98052,-10419688753.15828,162.8576841732482,3.3915175733070373e-37
zip_98053,-8672202744.662155,113.77812402864899,1.633872940090621e-26
zip_98055,33981021176.502777,57.74495352307135,3.074844795589928e-14
zip_98056,51832441750.36545,6.91599892034325,0.008547343056790365
zip_98057,25907447213.883133,37.96276993170272,7.306445454613663e-10
zip_98058,52219411917.60153,128.19086295841058,1.1783599237926717e-29
zip_98059,55582558220.04181,6.286251680994458,0.012173284659261964
zip_98065,-5943737334.8675995,1.4374830118158592,0.23055696748528934
zip_98070,7983196521.796356,3.3153123703477254,0.06864767298058817
zip_98072,3485367828.016968,72.36728594597938,1.8720061767853683e-17
zip_98074,-9035971180.077255,214.2886125559262,2.3798457556066626e-48
zip_98075,-7060829331.210991,367.87768775469726,1.754624671100739e-81
zip_98077,-6868460292.098312,97.2325991049177,6.702945393272156e-23
zip_98092,49325314229.9783,133.44046993945668,8.471495649602554e-31
zip_98102,10260095550.625393,45.20631860485361,1.8065108146277536e-11
zip_98103,23285737315.50302,2.871379148101854,0.09017841053712317
zip_98105,15434938279.468658,76.49808923036571,2.322276278475797e-18
zip_98106,19550418458.792816,149.79395155118743,2.3422249645335697e-34
zip_98107,18177644065.40646,1.3494877556961211,0.24537733907505957
zip_98108,14670953488.617844,64.99062948837323,7.815589815315513e-16
zip_98109,9676017525.652435,41.859396634557875,9.965555134887506e-11
zip_98112,14865796212.33966,304.5673392723659,7.466571898546505e-68
zip_98115,23195881577.12683,5.028829088805209,0.024936341919794387
zip_98116,16684186369.904297,0.08262291167578108,0.7737759681810465
zip_98117,23105636557.806824,1.839454649071675,0.17502553782155383
zip_98118,20605427883.870697,59.33352647635553,1.373647733699998e-14
zip_98119,13196120928.422241,57.38761157978343,3.686089528326881e-14
zip_98122,17741609675.27826,1.575180735334013,0.20946644660395963
zip_98125,18773757009.08428,19.73984355474538,8.90632710860787e-06
zip_98126,17781719761.19683,59.9343033899926,1.0129157292376359e-14
zip_98133,21701895633.246513,100.19734521701045,1.5076823609479538e-23
zip_98136,14695456198.041246,4.456678990522345,0.03477363943106379
zip_98144,17681263093.706604,1.627052961029088,0.20212146418198232
zip_98146,17396703185.055862,79.38805240095957,5.397943530081426e-19
zip_98148,29178866522.85608,25.685110588426777,4.044066655794736e-07
zip_98155,10245037150.652893,23.416370405899293,1.3113979079409712e-06
zip_98166,55888064328.201004,18.360996258158906,1.8335531103903982e-05
zip_98168,58399680369.63899,167.34271720390137,3.599566939688758e-38
zip_98177,7864910333.840546,13.981119758529143,0.00018501386701384775
zip_98178,16446673974.936707,107.73105302072997,3.4110535550068634e-25
zip_98188,42432316522.73189,60.57317503836832,7.32668608723191e-15
zip_98198,40929351046.55556,138.08278643161165,8.267033550770733e-32
zip_98199,17211133832.484528,99.72160133404583,1.9154389631824615e-23
zip_98288,5743116608.476868,8.713143502985892,0.0031617928199591844
